ID_PATIENT;NOM_PATIENT;PRENOM_PATIENT;DT_NAISS;VILLE_NAISS;PAYS_NAISS;NUM_SECU;IND_PAYS_NUM_TELP;NUM_TELEPHONE;NUM_VOIE;DSC_VOIE;CMPL_VOIE;CD_POSTAL;VILLE;PAYS;TS_CREATION_PATIENT;TS_MAJ_PATIENT
1262797;Name32797;FistName32797;1963-06-14;Ville12;Pays5;NS000032797;;+336##0670148;22;NomVoie6932797;;#6258;Ville1;Pays1;2009-11-11 19:21:11;2009-11-11 19:21:11
1245288;Name15288;FistName15288;1971-07-16;Ville1;Pays1;NS000015288;;+336##0747786;91;NomVoie8915288;;#0171;Ville2;Pays3;2023-06-06 21:17:01;2023-06-06 21:17:01
1236509;Name6509;FistName6509;1950-04-02;Ville11;Pays1;NS000006509;;+336##0667321;61;NomVoie826509;;#1563;Ville1;Pays2;2003-02-07 03:23:13;2003-02-07 03:23:13
1254464;Name24464;FistName24464;2007-02-20;Ville20;Pays1;NS000024464;;+336##0407888;16;NomVoie9524464;;#0755;Ville19;Pays1;2014-04-25 14:46:08;2014-04-25 14:46:08
1278432;Name48432;FistName48432;1990-04-07;Ville3;Pays1;NS000048432;;+336##0990845;60;NomVoie2248432;;#0069;Ville13;Pays4;2012-02-25 10:07:56;2012-02-25 10:07:56
1247288;Name17288;FistName17288;1954-01-02;Ville3;Pays2;NS000017288;;+336##0320594;18;NomVoie617288;;#4547;Ville18;Pays1;2020-09-16 01:56:44;2020-09-16 01:56:44
1252789;Name22789;FistName22789;1957-01-23;Ville19;Pays5;NS000022789;;+336##0879773;20;NomVoie4622789;;#2664;Ville18;Pays2;2015-03-01 19:34:58;2015-03-01 19:34:58
1254719;Name24719;FistName24719;1981-07-17;Ville18;Pays1;NS000024719;;+336##0955962;23;NomVoie9224719;;#8268;Ville18;Pays1;2022-09-03 06:29:52;2022-09-03 06:29:52
1277112;Name47112;FistName47112;1980-11-24;Ville12;Pays3;NS000047112;;+336##0302823;79;NomVoie5747112;;#7322;Ville8;Pays2;2016-05-04 18:55:50;2016-05-04 18:55:50
1246706;Name16706;FistName16706;1985-04-17;Ville3;Pays1;NS000016706;;+336##0119794;9;NomVoie2016706;;#1210;Ville24;Pays1;2005-08-03 16:33:42;2005-08-03 16:33:42
1255812;Name25812;FistName25812;2017-10-17;Ville23;Pays3;NS000025812;;+336##0446792;34;NomVoie8525812;;#4700;Ville8;Pays2;2000-03-27 12:20:10;2000-03-27 12:20:10
1235831;Name5831;FistName5831;1986-08-02;Ville24;Pays2;NS000005831;;+336##0069002;33;NomVoie505831;;#2607;Ville10;Pays2;2021-01-16 14:34:10;2021-01-16 14:34:10
1272025;Name42025;FistName42025;2015-11-13;Ville12;Pays3;NS000042025;;+336##0103541;50;NomVoie2542025;;#7643;Ville18;Pays2;2023-07-10 10:58:10;2023-07-10 10:58:10
1234042;Name4042;FistName4042;2005-07-16;Ville4;Pays3;NS000004042;;+336##0765134;79;NomVoie534042;;#1718;Ville6;Pays1;1999-08-19 18:41:51;1999-08-19 18:41:51
1256602;Name26602;FistName26602;1975-10-16;Ville16;Pays4;NS000026602;;+336##0824420;91;NomVoie4626602;;#7773;Ville1;Pays2;2009-02-01 22:01:50;2009-02-01 22:01:50
1254885;Name24885;FistName24885;1964-10-21;Ville8;Pays1;NS000024885;;+336##0679579;91;NomVoie7624885;;#6594;Ville7;Pays3;2002-06-21 11:22:08;2002-06-21 11:22:08
1239430;Name9430;FistName9430;1933-11-16;Ville13;Pays1;NS000009430;;+336##0002636;33;NomVoie609430;;#2342;Ville15;Pays1;2021-02-08 07:32:23;2021-02-08 07:32:23
1274558;Name44558;FistName44558;1945-02-10;Ville15;Pays3;NS000044558;;+336##0550569;70;NomVoie3644558;;#6822;Ville5;Pays2;1998-05-20 12:11:03;1998-05-20 12:11:03
1273533;Name43533;FistName43533;1961-07-05;Ville7;Pays4;NS000043533;;+336##0760347;61;NomVoie3543533;;#1109;Ville25;Pays1;2006-03-16 12:30:55;2006-03-16 12:30:55
1279781;Name49781;FistName49781;2003-09-05;Ville7;Pays2;NS000049781;;+336##0882044;66;NomVoie1249781;;#8774;Ville5;Pays2;2022-04-15 10:51:34;2022-04-15 10:51:34
1263082;Name33082;FistName33082;1981-08-12;Ville17;Pays2;NS000033082;;+336##0255911;36;NomVoie8333082;;#3926;Ville12;Pays2;2011-09-01 07:07:48;2011-09-01 07:07:48
1258549;Name28549;FistName28549;2003-05-27;Ville6;Pays2;NS000028549;;+336##0160089;96;NomVoie1428549;;#9787;Ville9;Pays1;2014-03-17 16:40:26;2014-03-17 16:40:26
1238523;Name8523;FistName8523;1958-03-21;Ville23;Pays3;NS000008523;;+336##0505579;45;NomVoie178523;;#3016;Ville2;Pays1;1997-06-09 08:56:36;1997-06-09 08:56:36
1255494;Name25494;FistName25494;1931-10-18;Ville25;Pays4;NS000025494;;+336##0779676;93;NomVoie2425494;;#5563;Ville2;Pays5;2001-03-17 11:39:48;2001-03-17 11:39:48
1269501;Name39501;FistName39501;1939-07-26;Ville15;Pays4;NS000039501;;+336##0182423;8;NomVoie1139501;;#1545;Ville4;Pays1;1999-03-09 09:34:20;1999-03-09 09:34:20
1231812;Name1812;FistName1812;1960-10-16;Ville20;Pays2;NS000001812;;+336##0580767;68;NomVoie231812;;#0503;Ville2;Pays1;2011-03-04 13:53:17;2011-03-04 13:53:17
1276724;Name46724;FistName46724;1976-11-22;Ville24;Pays1;NS000046724;;+336##0204179;39;NomVoie7546724;;#0013;Ville10;Pays3;1999-08-03 03:57:45;1999-08-03 03:57:45
1261746;Name31746;FistName31746;1936-10-08;Ville6;Pays1;NS000031746;;+336##0945772;42;NomVoie7731746;;#4055;Ville24;Pays3;2012-01-24 07:37:38;2012-01-24 07:37:38
1258844;Name28844;FistName28844;1987-04-10;Ville4;Pays2;NS000028844;;+336##0023601;33;NomVoie3528844;;#3465;Ville14;Pays3;2017-01-16 04:29:28;2017-01-16 04:29:28
1240903;Name10903;FistName10903;1989-09-08;Ville23;Pays3;NS000010903;;+336##0827981;31;NomVoie3010903;;#0532;Ville16;Pays2;2003-11-18 07:46:15;2003-11-18 07:46:15
1278454;Name48454;FistName48454;1983-10-27;Ville1;Pays2;NS000048454;;+336##0146833;73;NomVoie2348454;;#4073;Ville22;Pays3;2013-11-15 08:35:14;2013-11-15 08:35:14
1279956;Name49956;FistName49956;1938-04-06;Ville8;Pays2;NS000049956;;+336##0146977;79;NomVoie4549956;;#6630;Ville20;Pays2;2010-05-01 06:09:15;2010-05-01 06:09:15
1255599;Name25599;FistName25599;1977-06-04;Ville7;Pays1;NS000025599;;+336##0592981;33;NomVoie8225599;;#0347;Ville15;Pays2;2023-04-09 13:41:09;2023-04-09 13:41:09
1265959;Name35959;FistName35959;2013-07-13;Ville7;Pays1;NS000035959;;+336##0105606;15;NomVoie9235959;;#3826;Ville17;Pays3;2019-11-04 13:31:36;2019-11-04 13:31:36
1260761;Name30761;FistName30761;1951-08-16;Ville19;Pays1;NS000030761;;+336##0463680;72;NomVoie3530761;;#1720;Ville10;Pays1;2007-11-19 03:15:11;2007-11-19 03:15:11
1243806;Name13806;FistName13806;2015-11-11;Ville9;Pays1;NS000013806;;+336##0093228;47;NomVoie8813806;;#1414;Ville1;Pays2;1999-01-21 17:31:34;1999-01-21 17:31:34
1230615;Name615;FistName615;1986-02-07;Ville25;Pays2;NS000000615;;+336##0934638;28;NomVoie30615;;#4675;Ville19;Pays1;2018-01-18 02:03:55;2018-01-18 02:03:55
1238789;Name8789;FistName8789;1980-03-27;Ville20;Pays1;NS000008789;;+336##0852425;38;NomVoie358789;;#4038;Ville17;Pays1;2002-09-12 11:13:53;2002-09-12 11:13:53
1253263;Name23263;FistName23263;1978-09-17;Ville14;Pays3;NS000023263;;+336##0960532;39;NomVoie2123263;;#9584;Ville1;Pays2;2015-03-22 15:05:04;2015-03-22 15:05:04
1238039;Name8039;FistName8039;2005-04-27;Ville21;Pays1;NS000008039;;+336##0119131;8;NomVoie478039;;#4399;Ville7;Pays3;2019-08-10 18:14:34;2019-08-10 18:14:34
1243797;Name13797;FistName13797;1986-10-04;Ville20;Pays2;NS000013797;;+336##0538543;77;NomVoie5813797;;#7849;Ville3;Pays2;2007-05-15 02:52:06;2007-05-15 02:52:06
1259559;Name29559;FistName29559;2001-01-10;Ville14;Pays1;NS000029559;;+336##0145205;3;NomVoie7029559;;#0169;Ville15;Pays3;2012-10-01 02:09:28;2012-10-01 02:09:28
1268894;Name38894;FistName38894;1975-05-27;Ville19;Pays2;NS000038894;;+336##0129844;34;NomVoie638894;;#5990;Ville10;Pays1;2011-01-10 12:45:33;2011-01-10 12:45:33
1265512;Name35512;FistName35512;1947-03-07;Ville6;Pays1;NS000035512;;+336##0811045;46;NomVoie3935512;;#0594;Ville19;Pays2;1997-01-23 02:34:59;1997-01-23 02:34:59
