ID_PATIENT;NOM_PATIENT;PRENOM_PATIENT;DT_NAISS;VILLE_NAISS;PAYS_NAISS;NUM_SECU;IND_PAYS_NUM_TELP;NUM_TELEPHONE;NUM_VOIE;DSC_VOIE;CMPL_VOIE;CD_POSTAL;VILLE;PAYS;TS_CREATION_PATIENT;TS_MAJ_PATIENT
1239994;Name9994;FistName9994;1936-02-07;Ville22;Pays2;NS000009994;;+336##0110844;21;NomVoie149994;;#3078;Ville17;Pays1;2005-05-20 10:13:57;2005-05-20 10:13:57
1249411;Name19411;FistName19411;1943-05-26;Ville2;Pays3;NS000019411;;+336##0038732;58;NomVoie2619411;;#3678;Ville16;Pays1;2019-07-19 09:24:43;2019-07-19 09:24:43
1257991;Name27991;FistName27991;2013-07-17;Ville20;Pays2;NS000027991;;+336##0845113;56;NomVoie7527991;;#6327;Ville17;Pays3;2023-07-01 22:41:21;2023-07-01 22:41:21
1264077;Name34077;FistName34077;1966-05-18;Ville16;Pays1;NS000034077;;+336##0384423;72;NomVoie534077;;#0031;Ville13;Pays1;2022-03-18 17:29:03;2022-03-18 17:29:03
1241986;Name11986;FistName11986;1935-04-16;Ville15;Pays1;NS000011986;;+336##0000194;13;NomVoie2411986;;#8562;Ville6;Pays2;2002-01-23 02:36:03;2002-01-23 02:36:03
1241687;Name11687;FistName11687;1944-10-08;Ville1;Pays2;NS000011687;;+336##0360687;98;NomVoie8111687;;#2248;Ville4;Pays2;2001-03-17 10:32:22;2001-03-17 10:32:22
1231357;Name1357;FistName1357;1933-03-22;Ville6;Pays1;NS000001357;;+336##0622657;29;NomVoie671357;;#7898;Ville18;Pays1;1998-07-27 07:13:42;1998-07-27 07:13:42
1254632;Name24632;FistName24632;1988-01-19;Ville19;Pays2;NS000024632;;+336##0677372;67;NomVoie7324632;;#6675;Ville25;Pays3;2021-04-19 01:13:46;2021-04-19 01:13:46
1262467;Name32467;FistName32467;2014-05-27;Ville12;Pays3;NS000032467;;+336##0669334;17;NomVoie4832467;;#9726;Ville9;Pays1;2014-05-25 16:14:19;2014-05-25 16:14:19
1247559;Name17559;FistName17559;1941-04-06;Ville19;Pays3;NS000017559;;+336##0113707;61;NomVoie5017559;;#0047;Ville20;Pays1;2006-05-27 15:02:10;2006-05-27 15:02:10
1248003;Name18003;FistName18003;1943-10-11;Ville11;Pays1;NS000018003;;+336##0424020;64;NomVoie518003;;#3917;Ville24;Pays2;2003-08-27 22:58:04;2003-08-27 22:58:04
1231611;Name1611;FistName1611;1969-04-24;Ville19;Pays1;NS000001611;;+336##0354651;39;NomVoie341611;;#2660;Ville24;Pays2;2008-03-14 04:05:30;2008-03-14 04:05:30
1264377;Name34377;FistName34377;2011-06-07;Ville20;Pays3;NS000034377;;+336##0021439;16;NomVoie334377;;#1795;Ville1;Pays2;2014-05-19 18:44:45;2014-05-19 18:44:45
1275689;Name45689;FistName45689;1989-07-24;Ville18;Pays2;NS000045689;;+336##0210502;6;NomVoie9145689;;#9048;Ville6;Pays2;1997-02-08 21:13:31;1997-02-08 21:13:31
1249776;Name19776;FistName19776;1932-02-09;Ville10;Pays2;NS000019776;;+336##0610175;84;NomVoie8319776;;#5879;Ville25;Pays1;2014-05-19 11:09:14;2014-05-19 11:09:14
