ID_PATIENT;NOM_PATIENT;PRENOM_PATIENT;DT_NAISS;VILLE_NAISS;PAYS_NAISS;NUM_SECU;IND_PAYS_NUM_TELP;NUM_TELEPHONE;NUM_VOIE;DSC_VOIE;CMPL_VOIE;CD_POSTAL;VILLE;PAYS;TS_CREATION_PATIENT;TS_MAJ_PATIENT
1232111;Name2111;FistName2111;2017-11-23;Ville17;Pays3;NS000002111;;+336##0832532;89;NomVoie452111;;#4799;Ville3;Pays1;2012-02-11 10:07:08;2012-02-11 10:07:08
1268388;Name38388;FistName38388;1964-02-25;Ville16;Pays2;NS000038388;;+336##0181572;49;NomVoie138388;;#8623;Ville11;Pays4;2011-06-27 08:34:23;2011-06-27 08:34:23
1248859;Name18859;FistName18859;2015-09-18;Ville16;Pays1;NS000018859;;+336##0861065;2;NomVoie1718859;;#3208;Ville20;Pays2;2018-04-27 20:23:59;2018-04-27 20:23:59
1274198;Name44198;FistName44198;1958-07-12;Ville10;Pays2;NS000044198;;+336##0487911;63;NomVoie6044198;;#9298;Ville2;Pays3;2021-11-12 01:46:43;2021-11-12 01:46:43
1246650;Name16650;FistName16650;1974-05-17;Ville10;Pays2;NS000016650;;+336##0739630;43;NomVoie1316650;;#9570;Ville22;Pays2;1998-06-27 12:37:04;1998-06-27 12:37:04
1251447;Name21447;FistName21447;2009-02-11;Ville13;Pays2;NS000021447;;+336##0338080;15;NomVoie9321447;;#7918;Ville25;Pays2;2014-01-14 09:50:37;2014-01-14 09:50:37
1273088;Name43088;FistName43088;2003-05-23;Ville12;Pays4;NS000043088;;+336##0519084;39;NomVoie2243088;;#2798;Ville14;Pays1;2012-03-27 06:30:25;2012-03-27 06:30:25
1265660;Name35660;FistName35660;1952-05-12;Ville10;Pays2;NS000035660;;+336##0432652;98;NomVoie6535660;;#0284;Ville2;Pays3;2005-09-26 06:13:44;2005-09-26 06:13:44
1234654;Name4654;FistName4654;1996-03-24;Ville9;Pays2;NS000004654;;+336##0746773;71;NomVoie984654;;#7754;Ville10;Pays4;2018-02-07 03:43:59;2018-02-07 03:43:59
1253289;Name23289;FistName23289;1937-11-02;Ville4;Pays3;NS000023289;;+336##0969047;52;NomVoie7023289;;#3459;Ville4;Pays1;2019-11-18 19:45:30;2019-11-18 19:45:30
1238760;Name8760;FistName8760;1998-09-08;Ville13;Pays2;NS000008760;;+336##0854905;23;NomVoie338760;;#2516;Ville12;Pays2;2003-02-12 13:59:56;2003-02-12 13:59:56
1244765;Name14765;FistName14765;2010-04-02;Ville19;Pays2;NS000014765;;+336##0947151;18;NomVoie2114765;;#5122;Ville17;Pays2;2019-06-14 19:33:19;2019-06-14 19:33:19
1248148;Name18148;FistName18148;1994-06-13;Ville21;Pays2;NS000018148;;+336##0154247;10;NomVoie2318148;;#7835;Ville20;Pays3;2018-02-20 04:45:58;2018-02-20 04:45:58
1260233;Name30233;FistName30233;1969-04-19;Ville10;Pays2;NS000030233;;+336##0277994;96;NomVoie4530233;;#9209;Ville5;Pays2;2005-08-02 01:17:49;2005-08-02 01:17:49
1258738;Name28738;FistName28738;2004-09-21;Ville16;Pays2;NS000028738;;+336##0018951;87;NomVoie8528738;;#4598;Ville17;Pays1;2006-02-18 06:56:29;2006-02-18 06:56:29
1266131;Name36131;FistName36131;1980-05-16;Ville11;Pays1;NS000036131;;+336##0389232;54;NomVoie936131;;#7062;Ville6;Pays2;1998-06-23 08:48:41;1998-06-23 08:48:41
1242398;Name12398;FistName12398;1966-03-19;Ville17;Pays2;NS000012398;;+336##0350035;82;NomVoie7412398;;#7570;Ville7;Pays1;2018-09-06 18:30:30;2018-09-06 18:30:30
1268817;Name38817;FistName38817;1932-03-01;Ville12;Pays2;NS000038817;;+336##0675829;98;NomVoie6438817;;#7696;Ville12;Pays1;1999-07-21 15:54:33;1999-07-21 15:54:33
1260038;Name30038;FistName30038;1934-08-16;Ville7;Pays2;NS000030038;;+336##0809078;30;NomVoie9130038;;#8611;Ville6;Pays2;2015-04-18 10:57:20;2015-04-18 10:57:20
1274769;Name44769;FistName44769;1994-02-26;Ville15;Pays2;NS000044769;;+336##0410072;96;NomVoie4244769;;#0599;Ville8;Pays5;1997-05-07 10:08:34;1997-05-07 10:08:34
1259606;Name29606;FistName29606;1993-07-17;Ville25;Pays3;NS000029606;;+336##0526827;36;NomVoie7629606;;#0750;Ville17;Pays3;2005-05-10 06:19:29;2005-05-10 06:19:29
1231796;Name1796;FistName1796;1930-08-21;Ville20;Pays3;NS000001796;;+336##0369437;78;NomVoie721796;;#8843;Ville18;Pays1;2001-08-10 01:11:28;2001-08-10 01:11:28
1254370;Name24370;FistName24370;1938-10-15;Ville7;Pays2;NS000024370;;+336##0618121;77;NomVoie9324370;;#6850;Ville6;Pays1;1997-06-19 05:37:18;1997-06-19 05:37:18
1233064;Name3064;FistName3064;1986-04-06;Ville19;Pays2;NS000003064;;+336##0916120;85;NomVoie213064;;#6368;Ville20;Pays5;2022-09-08 05:16:01;2022-09-08 05:16:01
1248675;Name18675;FistName18675;2005-04-05;Ville6;Pays1;;;+336##0451660;89;NomVoie618675;;#9641;Ville22;Pays4;2005-08-20 13:01:32;2005-08-20 13:01:32
1243538;Name13538;FistName13538;1936-09-05;Ville10;Pays1;NS000013538;;+336##0094509;14;NomVoie7713538;;#0409;Ville12;Pays1;2002-01-15 19:31:31;2002-01-15 19:31:31
1261785;Name31785;FistName31785;1988-02-26;Ville7;Pays2;NS000031785;;+336##0235633;50;NomVoie4231785;;#1418;Ville19;Pays2;2018-01-25 10:40:07;2018-01-25 10:40:07
1266903;Name36903;FistName36903;1939-07-23;Ville6;Pays2;NS000036903;;+336##0444163;99;NomVoie8336903;;#4783;Ville16;Pays3;2007-03-18 01:53:17;2007-03-18 01:53:17
1247233;Name17233;FistName17233;1931-07-03;Ville8;Pays4;NS000017233;;+336##0874155;98;NomVoie4517233;;#6894;Ville14;Pays3;2011-01-18 17:21:06;2011-01-18 17:21:06
1247601;Name17601;FistName17601;1984-04-12;Ville7;Pays3;NS000017601;;+336##0972600;62;NomVoie1017601;;#7217;Ville23;Pays2;2014-08-13 17:29:43;2014-08-13 17:29:43
1253115;Name23115;FistName23115;1940-03-24;Ville9;Pays1;NS000023115;;+336##0845931;96;NomVoie5423115;;#2290;Ville7;Pays3;2015-08-17 06:28:14;2015-08-17 06:28:14
1270083;Name40083;FistName40083;1977-10-15;Ville2;Pays1;NS000040083;;+336##0197487;54;NomVoie6740083;;#7227;Ville1;Pays2;2015-08-04 19:33:16;2015-08-04 19:33:16
1242562;Name12562;FistName12562;1994-01-21;Ville14;Pays1;NS000012562;;+336##0833514;72;NomVoie7112562;;#0029;Ville25;Pays3;2007-05-06 01:14:22;2007-05-06 01:14:22
1267472;Name37472;FistName37472;2014-08-25;Ville15;Pays3;NS000037472;;+336##0025303;51;NomVoie2737472;;#2681;Ville22;Pays4;2023-11-07 23:25:25;2023-11-07 23:25:25
1260026;Name30026;FistName30026;1985-07-14;Ville2;Pays2;NS000030026;;+336##0184248;21;NomVoie430026;;#5959;Ville5;Pays1;2018-09-02 20:53:52;2018-09-02 20:53:52
1239710;Name9710;FistName9710;1991-07-27;Ville20;Pays5;NS000009710;;+336##0339363;28;NomVoie939710;;#9883;Ville1;Pays4;2013-02-18 14:47:11;2013-02-18 14:47:11
1242195;Name12195;FistName12195;2011-07-19;Ville2;Pays3;NS000012195;;+336##0630134;40;NomVoie6112195;;#3293;Ville13;Pays2;2004-08-19 02:26:31;2004-08-19 02:26:31
1269209;Name39209;FistName39209;2009-10-17;Ville3;Pays1;NS000039209;;+336##0804263;31;NomVoie1839209;;#4308;Ville19;Pays2;2002-06-18 15:53:49;2002-06-18 15:53:49
1236408;Name6408;FistName6408;1987-02-21;Ville6;Pays1;NS000006408;;+336##0715269;37;NomVoie366408;;#0749;Ville20;Pays2;2015-08-18 10:33:53;2015-08-18 10:33:53
1274483;Name44483;FistName44483;1979-10-22;Ville4;Pays1;NS000044483;;+336##0767702;33;NomVoie1144483;;#3304;Ville2;Pays3;1997-04-07 02:47:32;1997-04-07 02:47:32
1278570;Name48570;FistName48570;1989-01-19;Ville13;Pays2;NS000048570;;+336##0791098;66;NomVoie5348570;;#6707;Ville23;Pays3;2014-11-19 18:45:36;2014-11-19 18:45:36
1255106;Name25106;FistName25106;2002-06-22;Ville16;Pays5;NS000025106;;+336##0793733;74;NomVoie9425106;;#4011;Ville23;Pays2;2003-10-07 02:40:45;2003-10-07 02:40:45
1275128;Name45128;FistName45128;1977-01-07;Ville11;Pays3;NS000045128;;+336##0840590;38;NomVoie6045128;;#6347;Ville24;Pays1;2014-02-15 03:19:23;2014-02-15 03:19:23
1230374;Name374;FistName374;1973-09-19;Ville22;Pays3;NS000000374;;+336##0182338;71;NomVoie93374;;#6708;Ville8;Pays1;2017-07-09 17:20:54;2017-07-09 17:20:54
1231181;Name1181;FistName1181;1949-11-04;Ville14;Pays1;NS000001181;;+336##0029844;96;NomVoie91181;;#0182;Ville14;Pays3;2000-10-10 06:14:06;2000-10-10 06:14:06
1247052;Name17052;FistName17052;1977-01-06;Ville15;Pays1;NS000017052;;+336##0479139;56;NomVoie6517052;;#5314;Ville25;Pays3;2022-01-20 20:29:57;2022-01-20 20:29:57
1263146;Name33146;FistName33146;1997-01-06;Ville23;Pays4;NS000033146;;+336##0352042;11;NomVoie9133146;;#7959;Ville4;Pays1;2007-04-06 15:33:31;2007-04-06 15:33:31
1245033;Name15033;FistName15033;1966-10-07;Ville20;Pays1;NS000015033;;+336##0784242;69;NomVoie4615033;;#0165;Ville21;Pays2;2018-11-12 08:17:21;2018-11-12 08:17:21
1266652;Name36652;FistName36652;2015-06-16;Ville7;Pays2;NS000036652;;+336##0559620;17;NomVoie9236652;;#8297;Ville6;Pays1;2021-09-01 17:47:37;2021-09-01 17:47:37
1237444;Name7444;FistName7444;1984-10-19;Ville6;Pays2;NS000007444;;+336##0705306;80;NomVoie167444;;#3143;Ville11;Pays1;2020-04-25 08:47:06;2020-04-25 08:47:06
1255712;Name25712;FistName25712;1992-09-05;Ville8;Pays1;NS000025712;;+336##0437535;7;NomVoie9725712;;#8522;Ville11;Pays3;2009-02-02 12:49:53;2009-02-02 12:49:53
1248251;Name18251;FistName18251;1992-09-24;Ville25;Pays1;NS000018251;;+336##0851319;16;NomVoie8318251;;#3714;Ville9;Pays3;2009-09-07 07:19:28;2009-09-07 07:19:28
1279039;Name49039;FistName49039;2007-06-24;Ville18;Pays1;NS000049039;;+336##0263340;72;NomVoie2949039;;#8448;Ville4;Pays2;2006-05-11 05:24:22;2006-05-11 05:24:22
1264954;Name34954;FistName34954;2011-03-05;Ville9;Pays1;NS000034954;;+336##0248822;57;NomVoie4734954;;#1720;Ville16;Pays5;2012-10-07 01:03:02;2012-10-07 01:03:02
1247004;Name17004;FistName17004;1990-05-26;Ville17;Pays3;NS000017004;;+336##0440879;97;NomVoie9717004;;#1570;Ville6;Pays3;2015-03-07 02:51:56;2015-03-07 02:51:56
1257096;Name27096;FistName27096;1999-05-24;Ville23;Pays3;NS000027096;;+336##0531059;14;NomVoie6527096;;#1837;Ville4;Pays2;2020-04-03 10:45:28;2020-04-03 10:45:28
1264986;Name34986;FistName34986;1970-02-23;Ville5;Pays4;NS000034986;;+336##0395434;84;NomVoie234986;;#1755;Ville22;Pays2;2015-01-20 07:52:44;2015-01-20 07:52:44
1265043;Name35043;FistName35043;1995-02-18;Ville21;Pays3;NS000035043;;+336##0763012;39;NomVoie5735043;;#8493;Ville4;Pays2;2006-04-17 16:45:41;2006-04-17 16:45:41
1232371;Name2371;FistName2371;1932-08-17;Ville10;Pays3;NS000002371;;+336##0721265;17;NomVoie162371;;#0629;Ville23;Pays4;2001-09-18 15:59:01;2001-09-18 15:59:01
1279571;Name49571;FistName49571;1937-11-25;Ville10;Pays2;NS000049571;;+336##0691346;49;NomVoie649571;;#9090;Ville14;Pays3;2006-04-10 12:29:30;2006-04-10 12:29:30
1245030;Name15030;FistName15030;2015-07-01;Ville8;Pays5;NS000015030;;+336##0262970;90;NomVoie8015030;;#1156;Ville22;Pays3;2006-11-09 15:26:56;2006-11-09 15:26:56
1256332;Name26332;FistName26332;1961-09-19;Ville19;Pays2;NS000026332;;+336##0805099;89;NomVoie7626332;;#6810;Ville15;Pays2;2009-02-13 04:07:37;2009-02-13 04:07:37
1266419;Name36419;FistName36419;1932-02-15;Ville21;Pays2;NS000036419;;+336##0171749;95;NomVoie3536419;;#6013;Ville14;Pays4;2023-01-10 05:54:26;2023-01-10 05:54:26
1263707;Name33707;FistName33707;1999-01-10;Ville6;Pays3;NS000033707;;+336##0855274;27;NomVoie4233707;;#0079;Ville7;Pays2;2016-01-18 20:59:39;2016-01-18 20:59:39
1257345;Name27345;FistName27345;1966-07-11;Ville3;Pays1;NS000027345;;+336##0925653;71;NomVoie6227345;;#3886;Ville22;Pays2;2022-09-02 07:09:45;2022-09-02 07:09:45
1251782;Name21782;FistName21782;1973-09-06;Ville25;Pays1;NS000021782;;+336##0054798;73;NomVoie8721782;;#9215;Ville9;Pays3;1997-11-16 03:03:41;1997-11-16 03:03:41
1248794;Name18794;FistName18794;1985-04-21;Ville13;Pays1;NS000018794;;+336##0254955;92;NomVoie9918794;;#2935;Ville9;Pays2;2011-07-21 23:22:15;2011-07-21 23:22:15
1237198;Name7198;FistName7198;1983-04-23;Ville22;Pays1;NS000007198;;+336##0489574;3;NomVoie907198;;#9604;Ville3;Pays1;2006-01-18 05:48:16;2006-01-18 05:48:16
1259342;Name29342;FistName29342;1977-05-12;Ville10;Pays2;;;+336##0429842;32;NomVoie1629342;;#5775;Ville18;Pays1;2022-07-18 11:08:13;2022-07-18 11:08:13
1239282;Name9282;FistName9282;1974-10-01;Ville14;Pays2;NS000009282;;+336##0937621;36;NomVoie979282;;#8509;Ville1;Pays3;2014-08-03 18:09:45;2014-08-03 18:09:45
1261116;Name31116;FistName31116;2014-06-23;Ville24;Pays4;NS000031116;;+336##0207899;26;NomVoie1231116;;#9497;Ville13;Pays4;2023-03-14 06:32:24;2023-03-14 06:32:24
1265855;Name35855;FistName35855;1989-03-15;Ville12;Pays1;NS000035855;;+336##0628252;91;NomVoie3335855;;#4471;Ville23;Pays3;2006-05-13 21:36:19;2006-05-13 21:36:19
1235653;Name5653;FistName5653;1939-05-14;Ville5;Pays2;NS000005653;;+336##0724666;95;NomVoie635653;;#9959;Ville3;Pays1;2000-02-12 22:23:55;2000-02-12 22:23:55
1250136;Name20136;FistName20136;1962-09-18;Ville21;Pays4;NS000020136;;+336##0936214;20;NomVoie3620136;;#4431;Ville1;Pays3;2006-08-13 20:53:43;2006-08-13 20:53:43
1257370;Name27370;FistName27370;2016-09-16;Ville15;Pays1;NS000027370;;+336##0350550;77;NomVoie2327370;;#1426;Ville24;Pays5;2007-07-05 19:50:36;2007-07-05 19:50:36
1263344;Name33344;FistName33344;1961-07-04;Ville10;Pays1;NS000033344;;+336##0202213;15;NomVoie3233344;;#8878;Ville4;Pays1;1999-11-27 01:57:30;1999-11-27 01:57:30
1236749;Name6749;FistName6749;2008-05-21;Ville1;Pays1;NS000006749;;+336##0786593;2;NomVoie556749;;#0779;Ville21;Pays1;2015-04-20 01:13:43;2015-04-20 01:13:43
1270141;Name40141;FistName40141;1931-03-03;Ville10;Pays1;NS000040141;;+336##0432642;80;NomVoie9140141;;#4605;Ville1;Pays1;2022-10-14 11:51:22;2022-10-14 11:51:22
1257960;Name27960;FistName27960;1969-01-08;Ville7;Pays2;NS000027960;;+336##0111502;78;NomVoie8927960;;#4239;Ville10;Pays4;2017-07-01 01:48:58;2017-07-01 01:48:58
1236500;Name6500;FistName6500;1964-10-09;Ville1;Pays2;NS000006500;;+336##0170183;81;NomVoie406500;;#7382;Ville5;Pays2;2018-02-01 12:45:20;2018-02-01 12:45:20
1248228;Name18228;FistName18228;1934-07-04;Ville23;Pays2;NS000018228;;+336##0564153;30;NomVoie5118228;;#8170;Ville5;Pays2;2018-06-21 07:49:50;2018-06-21 07:49:50
1270350;Name40350;FistName40350;2017-08-22;Ville23;Pays2;NS000040350;;+336##0495395;49;NomVoie9240350;;#4563;Ville17;Pays1;1999-08-16 15:22:09;1999-08-16 15:22:09
1272392;Name42392;FistName42392;1948-03-03;Ville21;Pays3;NS000042392;;+336##0681086;38;NomVoie1842392;;#7085;Ville7;Pays2;2005-05-19 23:04:46;2005-05-19 23:04:46
1243259;Name13259;FistName13259;1957-09-01;Ville24;Pays1;NS000013259;;+336##0299156;18;NomVoie9513259;;#9737;Ville11;Pays1;2005-08-09 05:27:33;2005-08-09 05:27:33
1235831;Name5831;FistName5831;1986-08-02;Ville24;Pays2;NS000005831;;+336##0069002;33;NomVoie505831;;#2607;Ville10;Pays2;2021-01-16 14:34:10;2021-01-16 14:34:10
1237491;Name7491;FistName7491;1933-08-26;Ville3;Pays1;NS000007491;;+336##0227085;52;NomVoie347491;;#5444;Ville23;Pays1;2023-08-13 11:42:54;2023-08-13 11:42:54
1240541;Name10541;FistName10541;1971-06-24;Ville21;Pays1;NS000010541;;+336##0997001;69;NomVoie7010541;;#0800;Ville3;Pays1;2004-07-15 07:35:26;2004-07-15 07:35:26
1239493;Name9493;FistName9493;1974-04-17;Ville13;Pays3;NS000009493;;+336##0089583;8;NomVoie149493;;#7683;Ville7;Pays1;2005-03-02 11:11:20;2005-03-02 11:11:20
1265276;Name35276;FistName35276;1959-01-20;Ville11;Pays2;NS000035276;;+336##0211724;31;NomVoie2335276;;#1533;Ville4;Pays2;2017-06-15 05:10:48;2017-06-15 05:10:48
1243522;Name13522;FistName13522;2003-04-07;Ville1;Pays1;NS000013522;;+336##0048545;92;NomVoie2413522;;#2065;Ville20;Pays1;2000-09-20 18:41:46;2000-09-20 18:41:46
1259026;Name29026;FistName29026;2008-07-22;Ville8;Pays1;NS000029026;;+336##0664126;9;NomVoie7729026;;#6523;Ville19;Pays2;2000-03-04 01:13:01;2000-03-04 01:13:01
1231429;Name1429;FistName1429;2005-04-16;Ville13;Pays2;NS000001429;;+336##0590129;1;NomVoie221429;;#9720;Ville7;Pays3;2004-04-10 13:02:59;2004-04-10 13:02:59
1250602;Name20602;FistName20602;1935-06-09;Ville22;Pays2;NS000020602;;+336##0607903;7;NomVoie4220602;;#8238;Ville21;Pays1;2016-08-07 12:12:05;2016-08-07 12:12:05
1249961;Name19961;FistName19961;1956-01-04;Ville8;Pays3;NS000019961;;+336##0749134;6;NomVoie1519961;;#2253;Ville2;Pays3;1998-05-14 14:20:10;1998-05-14 14:20:10
