ID_PATIENT;NOM_PATIENT;PRENOM_PATIENT;DT_NAISS;VILLE_NAISS;PAYS_NAISS;NUM_SECU;IND_PAYS_NUM_TELP;NUM_TELEPHONE;NUM_VOIE;DSC_VOIE;CMPL_VOIE;CD_POSTAL;VILLE;PAYS;TS_CREATION_PATIENT;TS_MAJ_PATIENT
1262984;Name32984;FistName32984;1988-04-26;Ville18;Pays2;NS000032984;;+336##0923812;51;NomVoie2732984;;#1503;Ville21;Pays1;2013-01-12 08:11:36;2013-01-12 08:11:36
1262430;Name32430;FistName32430;1930-05-12;Ville14;Pays2;NS000032430;;+336##0046609;17;NomVoie1432430;;#5553;Ville18;Pays2;2005-06-01 16:48:47;2005-06-01 16:48:47
1231130;Name1130;FistName1130;1963-10-03;Ville25;Pays2;NS000001130;;+336##0754777;61;NomVoie461130;;#0589;Ville10;Pays2;1997-08-26 23:06:33;1997-08-26 23:06:33
1262943;Name32943;FistName32943;1979-06-22;Ville20;Pays2;NS000032943;;+336##0368470;50;NomVoie7532943;;#4426;Ville20;Pays1;1999-01-17 08:24:46;1999-01-17 08:24:46
1256026;Name26026;FistName26026;1987-05-11;Ville25;Pays4;NS000026026;;+336##0551036;71;NomVoie7126026;;#3251;Ville21;Pays4;2007-06-10 17:26:40;2007-06-10 17:26:40
1264785;Name34785;FistName34785;1986-03-19;Ville18;Pays2;NS000034785;;+336##0880537;42;NomVoie9634785;;#4334;Ville24;Pays2;2021-06-21 01:11:40;2021-06-21 01:11:40
1258028;Name28028;FistName28028;1994-07-12;Ville13;Pays3;NS000028028;;+336##0239802;92;NomVoie528028;;#7744;Ville12;Pays2;2003-10-08 01:47:36;2003-10-08 01:47:36
1246383;Name16383;FistName16383;1956-04-07;Ville22;Pays2;NS000016383;;+336##0534449;80;NomVoie2216383;;#3332;Ville9;Pays2;2022-11-05 23:28:16;2022-11-05 23:28:16
1234845;Name4845;FistName4845;1948-01-15;Ville8;Pays2;NS000004845;;+336##0024246;59;NomVoie274845;;#9235;Ville22;Pays3;2019-02-05 01:54:11;2019-02-05 01:54:11
1270890;Name40890;FistName40890;1998-10-13;Ville21;Pays3;NS000040890;;+336##0922602;84;NomVoie6240890;;#7405;Ville17;Pays3;2006-10-26 08:33:48;2006-10-26 08:33:48
1269881;Name39881;FistName39881;1930-08-10;Ville4;Pays1;NS000039881;;+336##0533957;57;NomVoie6139881;;#2303;Ville13;Pays1;2019-05-21 18:01:01;2019-05-21 18:01:01
1239918;Name9918;FistName9918;2009-06-10;Ville7;Pays2;NS000009918;;+336##0064974;84;NomVoie809918;;#2983;Ville3;Pays2;2019-01-02 11:38:05;2019-01-02 11:38:05
1258224;Name28224;FistName28224;2014-09-23;Ville2;Pays1;NS000028224;;+336##0998262;88;NomVoie2928224;;#5080;Ville21;Pays1;2020-01-06 04:17:06;2020-01-06 04:17:06
1278984;Name48984;FistName48984;1950-11-11;Ville7;Pays2;NS000048984;;+336##0324371;20;NomVoie6648984;;#7044;Ville20;Pays4;2003-08-20 15:21:55;2003-08-20 15:21:55
1260521;Name30521;FistName30521;2004-08-14;Ville12;Pays3;NS000030521;;+336##0731067;68;NomVoie1330521;;#7601;Ville10;Pays5;2013-10-15 03:02:22;2013-10-15 03:02:22
1250863;Name20863;FistName20863;1985-08-03;Ville15;Pays1;NS000020863;;+336##0680218;64;NomVoie8620863;;#9479;Ville23;Pays2;2008-07-05 14:32:22;2008-07-05 14:32:22
1276899;Name46899;FistName46899;1944-07-08;Ville22;Pays2;NS000046899;;+336##0600419;52;NomVoie6646899;;#8251;Ville14;Pays3;2017-11-13 01:16:10;2017-11-13 01:16:10
1268599;Name38599;FistName38599;1947-07-17;Ville24;Pays4;NS000038599;;+336##0379818;14;NomVoie7838599;;#9782;Ville4;Pays3;2022-08-21 14:24:24;2022-08-21 14:24:24
1238183;Name8183;FistName8183;1967-02-14;Ville1;Pays1;NS000008183;;+336##0690920;85;NomVoie248183;;#0789;Ville17;Pays3;1998-06-06 19:28:58;1998-06-06 19:28:58
1249434;Name19434;FistName19434;1996-04-07;Ville24;Pays3;NS000019434;;+336##0568484;79;NomVoie6719434;;#4616;Ville4;Pays4;1997-05-08 22:51:30;1997-05-08 22:51:30
1257574;Name27574;FistName27574;2004-07-15;Ville9;Pays1;NS000027574;;+336##0691929;27;NomVoie8527574;;#9154;Ville21;Pays2;2013-11-03 02:04:51;2013-11-03 02:04:51
1271022;Name41022;FistName41022;2006-03-21;Ville25;Pays2;NS000041022;;+336##0376663;60;NomVoie9641022;;#3758;Ville12;Pays2;2004-01-03 02:21:33;2004-01-03 02:21:33
1237159;Name7159;FistName7159;1963-09-16;Ville24;Pays1;NS000007159;;+336##0735142;22;NomVoie817159;;#3950;Ville1;Pays2;2013-08-22 18:19:38;2013-08-22 18:19:38
1257458;Name27458;FistName27458;1951-02-19;Ville9;Pays1;NS000027458;;+336##0765878;41;NomVoie5827458;;#4971;Ville5;Pays1;2018-10-12 12:42:21;2018-10-12 12:42:21
1231800;Name1800;FistName1800;1974-05-22;Ville6;Pays2;NS000001800;;+336##0167330;35;NomVoie251800;;#6866;Ville11;Pays1;2021-05-22 21:02:02;2021-05-22 21:02:02
