ID_PATIENT;NOM_PATIENT;PRENOM_PATIENT;DT_NAISS;VILLE_NAISS;PAYS_NAISS;NUM_SECU;IND_PAYS_NUM_TELP;NUM_TELEPHONE;NUM_VOIE;DSC_VOIE;CMPL_VOIE;CD_POSTAL;VILLE;PAYS;TS_CREATION_PATIENT;TS_MAJ_PATIENT
1279535;Name49535;FistName49535;2016-05-10;Ville14;Pays3;NS000049535;;+336##0588967;73;NomVoie1149535;;#3157;Ville7;Pays1;2014-02-27 01:45:23;2014-02-27 01:45:23
1235404;Name5404;FistName5404;1937-03-06;Ville3;Pays2;NS000005404;;+336##0838571;71;NomVoie835404;;#2020;Ville21;Pays2;2006-10-02 01:18:14;2006-10-02 01:18:14
1267790;Name37790;FistName37790;1935-04-09;Ville3;Pays2;NS000037790;;+336##0131472;10;NomVoie9737790;;#4123;Ville18;Pays2;2018-02-15 10:18:57;2018-02-15 10:18:57
1275564;Name45564;FistName45564;1982-05-26;Ville23;Pays1;NS000045564;;+336##0642283;19;NomVoie1545564;;#0549;Ville17;Pays2;2012-01-23 15:01:33;2012-01-23 15:01:33
1271211;Name41211;FistName41211;2002-09-11;Ville8;Pays1;NS000041211;;+336##0831516;49;NomVoie3041211;;#3692;Ville2;Pays1;2015-07-13 08:12:21;2015-07-13 08:12:21
1262878;Name32878;FistName32878;1957-11-18;Ville10;Pays1;NS000032878;;+336##0790138;18;NomVoie4632878;;#9022;Ville9;Pays1;2015-11-23 20:41:29;2015-11-23 20:41:29
1276183;Name46183;FistName46183;2013-10-14;Ville10;Pays2;NS000046183;;+336##0261212;49;NomVoie9346183;;#3139;Ville19;Pays1;2022-04-08 07:33:10;2022-04-08 07:33:10
1235808;Name5808;FistName5808;1985-06-01;Ville25;Pays1;NS000005808;;+336##0153559;87;NomVoie435808;;#0388;Ville9;Pays1;2014-09-19 15:28:20;2014-09-19 15:28:20
1262865;Name32865;FistName32865;1998-09-27;Ville9;Pays3;NS000032865;;+336##0333831;88;NomVoie2932865;;#7500;Ville22;Pays1;2007-09-21 05:25:02;2007-09-21 05:25:02
1250111;Name20111;FistName20111;1945-05-25;Ville2;Pays1;NS000020111;;+336##0847231;3;NomVoie9020111;;#8649;Ville20;Pays2;2021-02-06 14:38:42;2021-02-06 14:38:42
1232674;Name2674;FistName2674;1978-03-11;Ville18;Pays1;NS000002674;;+336##0322418;92;NomVoie392674;;#4486;Ville9;Pays3;2012-08-13 13:57:21;2012-08-13 13:57:21
1253387;Name23387;FistName23387;1944-11-16;Ville25;Pays4;NS000023387;;+336##0356020;34;NomVoie2823387;;#0366;Ville7;Pays2;2008-11-24 06:07:49;2008-11-24 06:07:49
1244947;Name14947;FistName14947;1948-03-27;Ville4;Pays1;NS000014947;;+336##0836751;80;NomVoie5114947;;#5542;Ville7;Pays3;2013-02-24 06:28:01;2013-02-24 06:28:01
1250400;Name20400;FistName20400;1953-07-09;Ville20;Pays1;NS000020400;;+336##0062802;26;NomVoie920400;;#6407;Ville1;Pays3;2020-11-09 12:05:25;2020-11-09 12:05:25
1257600;Name27600;FistName27600;1998-05-14;Ville12;Pays2;NS000027600;;+336##0816840;47;NomVoie8927600;;#8296;Ville5;Pays2;2022-05-10 16:39:13;2022-05-10 16:39:13
1240695;Name10695;FistName10695;1979-04-09;Ville12;Pays1;NS000010695;;+336##0725287;26;NomVoie410695;;#7850;Ville11;Pays5;2014-08-26 05:14:44;2014-08-26 05:14:44
1255775;Name25775;FistName25775;1981-06-07;Ville1;Pays2;NS000025775;;+336##0328477;13;NomVoie6125775;;#3532;Ville12;Pays4;2017-03-04 22:36:07;2017-03-04 22:36:07
1231498;Name1498;FistName1498;1941-07-09;Ville8;Pays1;NS000001498;;+336##0057597;84;NomVoie91498;;#4876;Ville3;Pays1;2004-11-15 20:09:36;2004-11-15 20:09:36
1277777;Name47777;FistName47777;1994-07-09;Ville7;Pays2;NS000047777;;+336##0530841;38;NomVoie2247777;;#4959;Ville7;Pays1;2005-04-06 17:41:04;2005-04-06 17:41:04
1254980;Name24980;FistName24980;2013-01-12;Ville15;Pays2;NS000024980;;+336##0673560;83;NomVoie7824980;;#1193;Ville12;Pays1;2005-08-08 13:56:40;2005-08-08 13:56:40
1279827;Name49827;FistName49827;1996-01-26;Ville16;Pays1;NS000049827;;+336##0162416;2;NomVoie7249827;;#7650;Ville24;Pays1;2001-10-19 01:05:40;2001-10-19 01:05:40
1268797;Name38797;FistName38797;1938-07-03;Ville3;Pays2;NS000038797;;+336##0778317;79;NomVoie5038797;;#1612;Ville10;Pays1;2008-03-24 13:34:42;2008-03-24 13:34:42
1277173;Name47173;FistName47173;1985-05-08;Ville3;Pays3;NS000047173;;+336##0399628;47;NomVoie3447173;;#5934;Ville2;Pays2;2004-09-17 20:55:12;2004-09-17 20:55:12
1251564;Name21564;FistName21564;1934-07-11;Ville12;Pays1;NS000021564;;+336##0574963;75;NomVoie2921564;;#1288;Ville2;Pays3;2003-05-12 01:59:03;2003-05-12 01:59:03
